Timestamp,Emotion,Emoji,Confidence
2026-03-02 16:25:16,neutral,😐,0.64
2026-03-02 16:25:16,fear,😨,0.53
2026-03-02 16:25:17,neutral,😐,0.75
2026-03-02 16:25:17,neutral,😐,0.78
2026-03-02 16:25:18,surprise,😲,0.44
2026-03-02 16:25:18,fear,😨,0.68
2026-03-02 16:25:19,neutral,😐,0.47
2026-03-02 16:25:19,fear,😨,0.41
2026-03-02 16:25:20,neutral,😐,0.48
2026-03-02 16:25:20,sad,😢,0.45
2026-03-02 16:25:21,sad,😢,0.55
2026-03-02 16:25:22,happy,😄,0.46
2026-03-02 16:25:22,sad,😢,0.40
2026-03-02 16:25:23,sad,😢,0.31
2026-03-02 16:25:23,neutral,😐,0.30
2026-03-02 16:25:24,happy,😄,0.36
2026-03-02 16:25:24,happy,😄,0.44
2026-03-02 16:25:25,happy,😄,0.55
2026-03-02 16:25:25,neutral,😐,0.51
2026-03-02 16:25:25,neutral,😐,0.40
2026-03-02 16:25:26,happy,😄,0.42
2026-03-02 16:25:26,happy,😄,0.30
2026-03-02 16:25:27,happy,😄,0.39
2026-03-02 16:25:28,happy,😄,0.24
2026-03-02 16:25:28,happy,😄,0.34
2026-03-02 16:25:30,neutral,😐,0.27
2026-03-02 16:25:31,happy,😄,0.31
